citing	cited	type	confidence	evidence
0704.0060	nucl-th/0703083	background	low	The citation context is a list of references with no specific relationship asserted.
0704.3793	nucl-th/0008008	background	medium	The context mentions that in these references the nucleons are taken as interacting via two- and three-nucleon potentials and electromagnetic currents are constructed using the exchange scheme, but only with a part of the interaction, without asserting a specific relationship like extension or comparison.
0704.3793	nucl-th/0006048	background	medium	The context mentions that in these references the nucleons are taken as interacting via two- and three-nucleon potentials and electromagnetic currents are constructed using the exchange scheme, but only with a part of the interaction, without asserting a specific relationship like extension or comparison.
0705.1313	nucl-th/0202063	background	low	The citation context is a list of references with no specific relationship asserted to the cited paper.
0705.1678	nucl-th/0601097	background	low	The citation context only mentions 'Further details of this method will be published elsewhere [cite]' with no specific relationship asserted
0705.1678	nucl-th/0610059	background	low	The citation context only mentions 'Further details of this method will be published elsewhere [cite]' with no specific relationship asserted
0705.3307	nucl-th/0610082	background	low	The citation context is a list of references with no surrounding sentence describing the relationship.
0705.3307	nucl-th/0703055	background	low	The citation context is a list of references with no surrounding sentence describing the relationship.
0705.3307	nucl-th/0601004	background	low	The citation context is a list of references with no surrounding sentence describing the relationship.
0705.3307	nucl-th/0701081	background	low	The citation context is a list of references with no surrounding sentence describing the relationship.
0706.1222	nucl-ex/0303009	background	low	The citation context is a list of references with no sentence describing the relationship to the cited work.
0706.2771	nucl-ex/0104003	background	medium	The context mentions 'Some works have also addressed the problem of asymmetry' but does not specify how the citing paper relates to the cited work beyond a general prior-art mention.
0706.2771	nucl-ex/0101010	background	medium	The context mentions 'Some works have also addressed the problem of asymmetry' but does not specify how the citing paper relates to the cited work beyond a general prior-art mention.
0707.0687	nucl-ex/0605001	uses	high	We refer the reader to [TARGET] for detailes on data used to extract the slope shown in Fig.
0708.0305	nucl-th/0601015	background	low	The citation context is a list of references with no surrounding text indicating a specific relationship.
0708.0305	nucl-th/0610002	background	low	The citation context is a list of references with no surrounding text indicating a specific relationship.
0708.0305	nucl-th/0505021	background	low	The citation context is a list of references with no surrounding text indicating a specific relationship.
0708.0305	nucl-th/0511092	background	low	The citation context is a list of references with no surrounding text indicating a specific relationship.
0708.0357	nucl-th/0101049	background	high	The citation context mentions 'previous calculations' and states 'it has been shown that nuclear potentials affect more significantly the breakup cross section at large relative energy [TARGET]' as a general prior finding, without asserting a specific relationship like extending, applying, or comparing.
0708.0357	nucl-th/0305067	compares	high	The context says 'Experimental data are from Refs. [TARGET]' and earlier notes 'The data of Baby [cite] seem better reproduced when S_17 increases faster with the energy', indicating the citing paper compares its calculations against the data from Junghans.
0708.3007	nucl-th/9805045	background	medium	the context mentions nuclear contributions at large impact parameters as an example, citing [TARGET] as a general observation
0708.3007	nucl-th/9804077	background	medium	the context mentions nuclear contributions at large impact parameters as an example, citing [TARGET] as a general observation
0708.3007	nucl-th/0603007	uses	high	the citing paper references a systematic study of nuclear interference in Coulomb dissociation of halo nuclei that showed large nuclear effects, using [TARGET] as evidence
0708.3007	nucl-th/9902021	background	medium	the context states that multi-step breakup effects need to be considered, citing [TARGET] as a general reference
0708.3639	cond-mat/0409542	background	low	The citation context only lists the paper in a reference list without any specific relationship asserted in the body text.
0710.4056	0708.3692	background	high	the context states that the intermediate energy regime does not yet have forces describing data with comparable quality, citing [TARGET] as a general reference to the state of the field
0710.4944	0706.0654	background	low	The citation context lists multiple references without a specific sentence describing the relationship to the cited paper.
0710.5884	hep-ph/0312147	background	medium	the citation is a reference to a discussion in another work, not an assertion of a specific relationship
